dataset,attr_method,metric,model,itr_no,area,comp,suff
electricity,tsr,mae,DLinear,2,0.1,8.544,11.708
electricity,tsr,mae,DLinear,2,0.15,10.496,10.774
electricity,tsr,mae,DLinear,3,0.05,6.462,12.784
electricity,tsr,mae,DLinear,3,0.075,8.008,12.22
electricity,tsr,mae,DLinear,3,0.1,8.879,11.846
electricity,tsr,mae,DLinear,3,0.15,10.834,10.92
electricity,tsr,mae,MICN,1,0.05,9.622,15.222
electricity,tsr,mae,MICN,1,0.075,11.189,14.577
electricity,tsr,mae,MICN,1,0.1,12.011,14.084
electricity,tsr,mae,MICN,1,0.15,13.749,12.554
electricity,tsr,mae,MICN,2,0.05,9.757,15.264
electricity,tsr,mae,MICN,2,0.075,11.306,14.641
electricity,tsr,mae,MICN,2,0.1,12.09,14.137
electricity,tsr,mae,MICN,2,0.15,13.755,12.65
electricity,tsr,mae,MICN,3,0.05,9.56,15.202
electricity,tsr,mae,MICN,3,0.075,11.128,14.482
electricity,tsr,mae,MICN,3,0.1,11.977,13.997
electricity,tsr,mae,MICN,3,0.15,13.71,12.603
electricity,tsr,mae,SegRNN,1,0.05,4.341,14.418
electricity,tsr,mae,SegRNN,1,0.075,5.941,13.142
electricity,tsr,mae,SegRNN,1,0.1,6.917,12.38
electricity,tsr,mae,SegRNN,1,0.15,9.144,10.838
electricity,tsr,mae,SegRNN,2,0.05,4.685,13.994
electricity,tsr,mae,SegRNN,2,0.075,6.285,12.946
electricity,tsr,mae,SegRNN,2,0.1,7.205,12.323
electricity,tsr,mae,SegRNN,2,0.15,9.296,11.069
electricity,tsr,mae,SegRNN,3,0.05,7.81,11.607
electricity,tsr,mae,SegRNN,3,0.075,9.193,10.797
electricity,tsr,mae,SegRNN,3,0.1,10.0,10.452
electricity,tsr,mae,SegRNN,3,0.15,12.068,10.166
electricity,tsr,mae,iTransformer,1,0.05,5.691,17.675
electricity,tsr,mae,iTransformer,1,0.075,7.437,16.591
electricity,tsr,mae,iTransformer,1,0.1,8.456,15.989
electricity,tsr,mae,iTransformer,1,0.15,10.523,14.723
electricity,tsr,mae,iTransformer,2,0.05,5.135,17.77
electricity,tsr,mae,iTransformer,2,0.075,6.676,16.737
electricity,tsr,mae,iTransformer,2,0.1,7.618,16.13
electricity,tsr,mae,iTransformer,2,0.15,9.494,14.883
electricity,tsr,mae,iTransformer,3,0.05,5.72,18.145
electricity,tsr,mae,iTransformer,3,0.075,7.41,17.02
electricity,tsr,mae,iTransformer,3,0.1,8.417,16.395
electricity,tsr,mae,iTransformer,3,0.15,10.388,15.155
electricity,gatemask,mae,DLinear,1,0.05,4.185,15.785
electricity,gatemask,mae,DLinear,1,0.075,6.576,14.457
electricity,gatemask,mae,DLinear,1,0.1,8.227,13.564
electricity,gatemask,mae,DLinear,1,0.15,11.277,11.532
electricity,gatemask,mae,DLinear,2,0.05,4.058,15.621
electricity,gatemask,mae,DLinear,2,0.075,6.554,14.184
electricity,gatemask,mae,DLinear,2,0.1,8.21,13.311
electricity,gatemask,mae,DLinear,2,0.15,11.36,11.281
electricity,gatemask,mae,DLinear,3,0.05,4.239,15.942
electricity,gatemask,mae,DLinear,3,0.075,6.753,14.55
electricity,gatemask,mae,DLinear,3,0.1,8.427,13.589
electricity,gatemask,mae,DLinear,3,0.15,11.793,11.362
electricity,gatemask,mae,MICN,1,0.05,6.674,14.486
electricity,gatemask,mae,MICN,1,0.075,9.098,13.084
electricity,gatemask,mae,MICN,1,0.1,10.48,12.073
electricity,gatemask,mae,MICN,1,0.15,12.722,9.775
electricity,gatemask,mae,MICN,2,0.05,6.337,14.835
electricity,gatemask,mae,MICN,2,0.075,8.842,13.354
electricity,gatemask,mae,MICN,2,0.1,10.359,12.365
electricity,gatemask,mae,MICN,2,0.15,12.914,9.938
electricity,gatemask,mae,MICN,3,0.05,6.641,14.5
electricity,gatemask,mae,MICN,3,0.075,8.969,13.098
electricity,gatemask,mae,MICN,3,0.1,10.387,12.14
electricity,gatemask,mae,MICN,3,0.15,12.689,9.871
electricity,gatemask,mae,SegRNN,1,0.05,2.884,17.133
electricity,gatemask,mae,SegRNN,1,0.075,4.19,16.665
electricity,gatemask,mae,SegRNN,1,0.1,4.922,16.391
electricity,gatemask,mae,SegRNN,1,0.15,6.525,15.627
electricity,gatemask,mae,SegRNN,2,0.05,2.723,17.094
electricity,gatemask,mae,SegRNN,2,0.075,4.021,16.616
electricity,gatemask,mae,SegRNN,2,0.1,4.798,16.3
electricity,gatemask,mae,SegRNN,2,0.15,6.532,15.444
electricity,gatemask,mae,SegRNN,3,0.05,2.767,16.922
electricity,gatemask,mae,SegRNN,3,0.075,4.04,16.445
electricity,gatemask,mae,SegRNN,3,0.1,4.758,16.152
electricity,gatemask,mae,SegRNN,3,0.15,6.459,15.299
electricity,gatemask,mae,iTransformer,1,0.05,3.346,20.303
electricity,gatemask,mae,iTransformer,1,0.075,4.959,19.348
electricity,gatemask,mae,iTransformer,1,0.1,6.233,18.718
electricity,gatemask,mae,iTransformer,1,0.15,8.888,16.848
electricity,gatemask,mae,iTransformer,2,0.05,3.389,20.061
electricity,gatemask,mae,iTransformer,2,0.075,5.014,19.119
